id,band_name
267,throughput
268,neutral
269,system-worthy
270,cohesive
271,superstructure
272,bifurcated
273,Synergistic
274,Expanded
275,open system
276,Diverse
277,reciprocal
278,Streamlined
279,secondary
280,knowledge user
281,Horizontal
282,Diverse
283,Distributed
284,emulation
285,secured line
286,encryption
287,flexibility
288,projection
289,open system
290,local area network
291,clear-thinking
292,Reactive
293,software
294,neutral
295,Reactive
296,Adaptive
297,Self-enabling
298,Diverse
299,leverage
300,Decentralized
301,Upgradable
302,Enterprise-wide
303,success
304,methodology
305,task-force
306,Synergistic
307,approach
308,Front-line
309,real-time
310,secured line
311,archive
312,data-warehouse
313,software
314,approach
315,framework
316,fault-tolerant
317,Open-architected
318,multi-tasking
319,throughput
320,algorithm
321,cohesive
322,5th generation
323,attitude-oriented
324,help-desk
325,function
326,Devolved
327,zero defect
328,customer loyalty
329,functionalities
330,zero defect
331,website
332,zero tolerance
333,Synchronised
334,encoding
335,client-server
336,empowering
337,time-frame
338,incremental
339,Managed
340,human-resource
341,implementation
342,capacity
343,regional
344,matrix
345,logistical
346,matrix
347,zero defect
348,focus group
349,Ameliorated
350,emulation
351,customer loyalty
352,time-frame
353,motivating
354,throughput
355,coherent
356,local area network
357,analyzer
358,cohesive
359,grid-enabled
360,collaboration
361,mobile
362,Multi-lateral
363,protocol
364,Graphical User Interface
365,Centralized
366,Focused
367,Progressive
368,artificial intelligence
369,extranet
370,Object-based
371,forecast
372,system-worthy
373,productivity
374,Optional
375,Synergistic
376,optimal
377,Up-sized
378,Extended
379,pricing structure
380,Visionary
381,workforce
382,throughput
383,synergy
384,internet solution
385,forecast
386,bi-directional
387,attitude-oriented
388,User-centric
389,Networked
390,complexity
391,portal
392,throughput
393,capability
394,Networked
395,tertiary
396,Right-sized
397,Enterprise-wide
398,system-worthy
399,clear-thinking
400,challenge
401,moratorium
402,Operative
403,firmware
404,encoding
405,hub
406,budgetary management
407,secured line
408,architecture
409,static
410,strategy
411,Extended
412,bi-directional
413,foreground
414,Decentralized
415,Digitized
416,maximized
417,neutral
418,orchestration
419,full-range
420,Business-focused
421,Exclusive
422,De-engineered
423,flexibility
424,monitoring
425,3rd generation
426,moratorium
427,bottom-line
428,hub
429,frame
430,uniform
431,Upgradable
432,Mandatory
433,access
434,Persevering
435,mobile
436,Synergistic
437,attitude-oriented
438,upward-trending
439,data-warehouse
440,Optional
441,Mandatory
442,bandwidth-monitored
443,Extended
444,local area network
445,installation
446,help-desk
447,User-friendly
448,Organic
449,optimizing
450,local area network
451,interactive
452,pricing structure
453,Exclusive
454,internet solution
455,Synergistic
456,Exclusive
457,bottom-line
458,Self-enabling
459,motivating
460,didactic
461,superstructure
462,Distributed
463,migration
464,Seamless
465,encoding
466,impactful
467,throughput
468,task-force
469,foreground
470,User-centric
471,Exclusive
472,empowering
473,installation
474,flexibility
475,installation
476,Ergonomic
477,Graphic Interface
478,Exclusive
479,asynchronous
480,even-keeled
481,methodical
482,contextually-based
483,policy
484,hierarchy
485,Compatible
486,secured line
487,Public-key
488,Down-sized
489,infrastructure
490,bifurcated
491,Universal
492,Decentralized
493,fault-tolerant
494,disintermediate
495,De-engineered
496,user-facing
497,hierarchy
498,analyzer
499,multi-state
500,real-time
501,bi-directional
502,human-resource
503,Self-enabling
504,Diverse
505,instruction set
506,open system
507,internet solution
508,Grass-roots
509,non-volatile
510,Reactive
511,Total
512,Up-sized
513,concept
514,capability
515,architecture
516,service-desk
517,Self-enabling
518,Secured
519,global
520,capacity
521,Cross-platform
522,support
523,attitude-oriented
524,Synergistic
525,Graphical User Interface
526,mission-critical
527,fault-tolerant
528,Proactive
529,Operative
530,well-modulated
531,extranet
532,Universal
533,multi-tasking
534,De-engineered
535,internet solution
536,real-time
537,client-server
538,Right-sized
539,Right-sized
540,Sharable
541,heuristic
542,24 hour
543,next generation
544,pricing structure
545,Grass-roots
546,local area network
547,mobile
548,solution
549,collaboration
550,human-resource
551,help-desk
552,User-friendly
553,info-mediaries
554,regional
555,intermediate
556,knowledge user
557,alliance
558,radical
559,impactful
560,portal
561,task-force
562,Face to face
563,Decentralized
564,24 hour
565,Devolved
566,empowering
567,analyzing
568,open system
569,portal
570,scalable
571,executive
572,matrix
573,mobile
574,impactful
575,portal
576,regional
577,motivating
578,Decentralized
579,web-enabled
580,extranet
581,Switchable
582,user-facing
583,Vision-oriented
584,Mandatory
585,Team-oriented
586,success
587,multi-state
588,system-worthy
589,Synergized
590,Fundamental
591,disintermediate
592,Multi-lateral
593,Reactive
594,Persistent
595,Monitored
596,Extended
597,attitude-oriented
598,cohesive
599,radical
600,migration
601,optimizing
602,Face to face
603,coherent
604,actuating
605,architecture
606,exuding
607,national
608,Down-sized
609,responsive
610,systematic
611,methodical
612,reciprocal
613,Persevering
614,software
615,national
616,Upgradable
617,internet solution
618,impactful
619,Extended
620,Synergistic
621,responsive
622,Decentralized
623,support
624,Seamless
625,benchmark
626,Synergized
627,grid-enabled
628,array
629,Decentralized
630,Virtual
631,support
632,collaboration
633,Sharable
634,Versatile
635,database
636,Open-source
637,hardware
638,Automated
639,demand-driven
640,workforce
641,3rd generation
642,groupware
643,real-time
644,multi-tasking
645,leverage
646,De-engineered
647,framework
648,methodology
649,demand-driven
650,application
651,Self-enabling
652,productivity
653,matrices
654,directional
655,Multi-channelled
656,scalable
657,Exclusive
658,Exclusive
659,budgetary management
660,policy
661,Proactive
662,content-based
663,User-friendly
664,migration
665,Reactive
666,complexity
667,methodology
668,multi-state
669,array
670,upward-trending
671,Cross-group
672,24/7
673,radical
674,solution-oriented
675,national
676,Adaptive
677,firmware
678,Intuitive
679,secondary
680,Sharable
681,Open-architected
682,Versatile
683,incremental
684,Open-architected
685,hub
686,Future-proofed
687,alliance
688,encoding
689,framework
690,Synchronised
691,capability
692,Devolved
693,value-added
694,intranet
695,encryption
696,24/7
697,24/7
698,core
699,Operative
700,Open-architected
701,secondary
702,encompassing
703,non-volatile
704,bottom-line
705,info-mediaries
706,database
707,24/7
708,Compatible
709,User-friendly
710,productivity
711,6th generation
712,Grass-roots
713,collaboration
714,executive
715,scalable
716,capability
717,Enterprise-wide
718,Upgradable
719,Cross-platform
720,utilisation
721,fault-tolerant
722,Persistent
723,framework
724,Digitized
725,web-enabled
726,clear-thinking
727,next generation
728,Expanded
729,User-friendly
730,Persevering
731,Integrated
732,Reactive
733,Decentralized
734,circuit
735,matrix
736,Multi-tiered
737,Quality-focused
738,Object-based
739,Graphic Interface
740,definition
741,context-sensitive
742,clear-thinking
743,local area network
744,structure
745,User-centric
746,multi-state
747,Customer-focused
748,Phased
749,uniform
750,Front-line
751,Streamlined
752,neural-net
753,customer loyalty
754,strategy
755,Decentralized
756,Re-contextualized
757,Compatible
758,circuit
759,Diverse
760,Devolved
761,Progressive
762,circuit
763,hybrid
764,hub
765,contextually-based
766,exuding
767,intangible
768,Versatile
769,core
770,Graphic Interface
771,hierarchy
772,Intuitive
773,value-added
774,composite
775,discrete
776,Advanced
777,Open-architected
778,middleware
779,Vision-oriented
780,Down-sized
781,responsive
782,motivating
783,optimal
784,exuding
785,encoding
786,Grass-roots
787,Assimilated
788,regional
789,customer loyalty
790,circuit
791,knowledge base
792,customer loyalty
793,Cloned
794,Balanced
795,Balanced
796,mission-critical
797,Monitored
798,Expanded
799,middleware
800,matrix
801,initiative
802,client-server
803,Synergistic
804,leading edge
805,next generation
806,Persistent
807,bi-directional
808,customer loyalty
809,initiative
810,info-mediaries
811,24/7
812,matrices
813,toolset
814,intermediate
815,concept
816,approach
817,exuding
818,software
819,bifurcated
820,Robust
821,cohesive
822,executive
823,Multi-layered
824,Integrated
825,Visionary
826,heuristic
827,Synergized
828,solution
829,frame
830,bi-directional
831,Secured
832,24/7
833,groupware
834,Streamlined
835,Progressive
836,open system
837,static
838,help-desk
839,well-modulated
840,Realigned
841,directional
842,Configurable
843,methodical
844,interactive
845,De-engineered
846,maximized
847,array
848,circuit
849,Face to face
850,leverage
851,3rd generation
852,budgetary management
853,encompassing
854,functionalities
855,moderator
856,interactive
857,Graphical User Interface
858,workforce
859,holistic
860,object-oriented
861,task-force
862,Decentralized
863,even-keeled
864,context-sensitive
865,Digitized
866,Virtual
867,user-facing
868,methodical
869,Fundamental
870,Balanced
871,bandwidth-monitored
872,Focused
873,scalable
874,needs-based
875,Up-sized
876,service-desk
877,interactive
878,synergy
879,24 hour
880,Networked
881,Devolved
882,uniform
883,Balanced
884,Graphical User Interface
885,24 hour
886,Organized
887,Triple-buffered
888,throughput
889,Customer-focused
890,real-time
891,toolset
892,complexity
893,interactive
894,Diverse
895,installation
896,dynamic
897,analyzing
898,didactic
899,responsive
900,hub
901,synergy
902,Virtual
903,standardization
904,database
905,attitude
906,client-driven
907,workforce
908,Devolved
909,Object-based
910,Future-proofed
911,fresh-thinking
912,paradigm
913,Graphic Interface
914,contextually-based
915,non-volatile
916,projection
917,human-resource
918,Mandatory
919,Phased
920,knowledge base
921,4th generation
922,Horizontal
923,workforce
924,capacity
925,concept
926,middleware
927,coherent
928,Organic
929,hardware
930,logistical
931,client-driven
932,maximized
933,product
934,structure
935,attitude-oriented
936,foreground
937,Synchronised
938,neutral
939,object-oriented
940,Inverse
941,artificial intelligence
942,asymmetric
943,tertiary
944,24 hour
945,next generation
946,paradigm
947,Secured
948,clear-thinking
949,real-time
950,flexibility
951,moratorium
952,support
953,Networked
954,upward-trending
955,definition
956,Focused
957,clear-thinking
958,static
959,Persevering
960,framework
961,object-oriented
962,benchmark
963,artificial intelligence
964,Open-architected
965,Universal
966,motivating
967,model
968,Persistent
969,instruction set
970,Face to face
971,emulation
972,interface
973,Reverse-engineered
974,analyzer
975,Configurable
976,Down-sized
977,Streamlined
978,Up-sized
979,Team-oriented
980,project
981,systemic
982,Centralized
983,portal
984,secured line
985,middleware
986,national
987,superstructure
988,synergy
989,process improvement
990,Public-key
991,Re-engineered
992,circuit
993,explicit
994,installation
995,User-centric
996,policy
997,solution
998,complexity
999,emulation
1000,synergy
1001,capacity
1002,dynamic
1003,hybrid
1004,architecture
1005,asynchronous
1006,benchmark
1007,Triple-buffered
1008,Customizable
1009,zero defect
1010,emulation
1011,User-centric
1012,budgetary management
1013,hierarchy
1014,didactic
1015,neural-net
1016,definition
1017,Expanded
1018,Managed
1019,upward-trending
1020,parallelism
1021,eco-centric
1022,Optional
1023,Object-based
1024,Reverse-engineered
1025,Profound
1026,empowering
1027,methodical
1028,Automated
1029,24 hour
1030,upward-trending
1031,full-range
1032,Cross-group
1033,full-range
1034,next generation
1035,6th generation
1036,solution-oriented
1037,Virtual
1038,optimizing
1039,archive
1040,Diverse
1041,bi-directional
1042,foreground
1043,pricing structure
1044,flexibility
1045,exuding
1046,Enterprise-wide
1047,core
1048,internet solution
1049,Open-source
1050,Horizontal
1051,circuit
1052,Stand-alone
1053,Distributed
1054,neutral
1055,Managed
1056,Networked
1057,human-resource
1058,Up-sized
1059,modular
1060,architecture
1061,6th generation
1062,fresh-thinking
1063,high-level
1064,mobile
1065,Ergonomic
1066,Open-source
1067,architecture
1068,encoding
1069,policy
1070,static
1071,scalable
1072,conglomeration
1073,policy
1074,Grass-roots
1075,local area network
1076,discrete
1077,Enterprise-wide
1078,analyzing
1079,context-sensitive
1080,uniform
1081,Stand-alone
1082,De-engineered
1083,De-engineered
1084,structure
1085,actuating
1086,needs-based
1087,Assimilated
1088,multi-tasking
1089,challenge
1090,application
1091,zero defect
1092,Face to face
1093,architecture
1094,secondary
1095,algorithm
1096,homogeneous
1097,access
1098,Innovative
1099,fresh-thinking
1100,interface
1101,Polarised
1102,heuristic
1103,leverage
1104,array
1105,Focused
1106,Operative
1107,pricing structure
1108,Inverse
1109,non-volatile
1110,definition
1111,directional
1112,instruction set
1113,Cross-group
1114,neural-net
1115,Digitized
1116,multi-state
1117,secondary
1118,Innovative
1119,impactful
1120,multi-tasking
1121,circuit
1122,framework
1123,bi-directional
1124,Robust
1125,interface
1126,directional
1127,Triple-buffered
1128,access
1129,Reduced
1130,intangible
1131,Down-sized
1132,systematic
1133,Decentralized
1134,model
1135,Monitored
1136,orchestration
1137,forecast
1138,Configurable
1139,methodical
1140,Organized
1141,methodology
1142,collaboration
1143,concept
1144,Future-proofed
1145,Intuitive
1146,leverage
1147,bottom-line
1148,bi-directional
1149,contingency
1150,process improvement
1151,Centralized
1152,contingency
1153,content-based
1154,instruction set
1155,bifurcated
1156,service-desk
1157,client-driven
1158,6th generation
1159,real-time
1160,Persevering
1161,impactful
1162,Profit-focused
1163,Total
1164,value-added
1165,context-sensitive
1166,emulation
1167,Reactive
1168,superstructure
1169,parallelism
1170,moratorium
1171,ability
1172,dedicated
1173,ability
1174,discrete
1175,Multi-layered
1176,empowering
1177,implementation
1178,Horizontal
1179,protocol
1180,incremental
1181,intermediate
1182,Cloned
1183,explicit
1184,Automated
1185,Quality-focused
1186,24 hour
1187,approach
1188,fresh-thinking
1189,Configurable
1190,directional
1191,Total
1192,hierarchy
1193,Versatile
1194,attitude
1195,Business-focused
1196,Devolved
1197,Focused
1198,multi-tasking
1199,extranet
1200,explicit
1201,definition
1202,Versatile
1203,strategy
1204,bi-directional
1205,responsive
1206,Polarised
1207,Reduced
1208,Right-sized
1209,De-engineered
1210,Triple-buffered
1211,Cross-platform
1212,didactic
1213,website
1214,Function-based
1215,6th generation
1216,maximized
1217,algorithm
1218,matrix
1219,solution
1220,Implemented
1221,Enterprise-wide
1222,help-desk
1223,budgetary management
1224,Reduced
1225,algorithm
1226,Graphical User Interface
1227,Graphical User Interface
1228,Open-architected
1229,Visionary
1230,bottom-line
1231,conglomeration
1232,Robust
1233,Versatile
1234,bifurcated
1235,Open-source
1236,encompassing
1237,task-force
1238,frame
1239,productivity
1240,website
1241,even-keeled
1242,coherent
1243,modular
1244,24 hour
1245,adapter
1246,3rd generation
1247,installation
1248,Customer-focused
1249,time-frame
1250,archive
1251,regional
1252,conglomeration
1253,optimal
1254,groupware
1255,Public-key
1256,Total
1257,instruction set
1258,groupware
1259,process improvement
1260,installation
1261,bottom-line
1262,array
1263,Customer-focused
1264,eco-centric
1265,dynamic
1266,matrices
1267,intranet
1268,productivity
1269,architecture
1270,local area network
1271,emulation
1272,Future-proofed
1273,User-centric
1274,Extended
1275,Reverse-engineered
1276,responsive
1277,conglomeration
1278,definition
1279,intranet
1280,bandwidth-monitored
1281,impactful
1282,parallelism
1283,time-frame
1284,open system
1285,complexity
1286,structure
1287,radical
1288,Persistent
1289,User-friendly
1290,multi-state
1291,mobile
1292,mission-critical
1293,4th generation
1294,human-resource
1295,dedicated
1296,Enhanced
1297,Balanced
1298,Down-sized
1299,function
1300,Graphical User Interface
1301,monitoring
1302,Function-based
1303,directional
1304,Exclusive
1305,product
1306,projection
1307,service-desk
1308,Object-based
1309,Automated
1310,24 hour
1311,monitoring
1312,core
1313,Multi-layered
1314,zero administration
1315,holistic
1316,clear-thinking
1317,dedicated
1318,fault-tolerant
1319,website
1320,help-desk
1321,groupware
1322,orchestration
1323,artificial intelligence
1324,zero tolerance
1325,leading edge
1326,Reduced
1327,uniform
1328,Synergistic
1329,Cross-platform
1330,archive
1331,capability
1332,6th generation
1333,policy
1334,6th generation
1335,secured line
1336,local
1337,maximized
1338,throughput
1339,Multi-layered
1340,parallelism
1341,Organized
1342,Programmable
1343,executive
1344,Function-based
1345,analyzer
1346,Decentralized
1347,Object-based
1348,open architecture
1349,analyzer
1350,homogeneous
1351,initiative
1352,multi-state
1353,Open-source
1354,human-resource
1355,contingency
1356,implementation
1357,User-centric
1358,asynchronous
1359,orchestration
1360,Total
1361,project
1362,holistic
1363,Proactive
1364,Visionary
1365,instruction set
1366,Decentralized
1367,budgetary management
1368,coherent
1369,time-frame
1370,heuristic
1371,groupware
1372,mission-critical
1373,hierarchy
1374,Triple-buffered
1375,function
1376,exuding
1377,open system
1378,regional
1379,web-enabled
1380,solution
1381,static
1382,clear-thinking
1383,interactive
1384,bifurcated
1385,productivity
1386,Universal
1387,human-resource
1388,Synchronised
1389,extranet
1390,concept
1391,bandwidth-monitored
1392,Advanced
1393,model
1394,intangible
1395,website
1396,Secured
1397,customer loyalty
1398,Secured
1399,executive
1400,Enhanced
1401,explicit
1402,paradigm
1403,directional
1404,national
1405,interface
1406,Integrated
1407,functionalities
1408,definition
1409,Operative
1410,Mandatory
1411,scalable
1412,interactive
1413,bottom-line
1414,discrete
1415,impactful
1416,success
1417,exuding
1418,utilisation
1419,content-based
1420,Synergized
1421,Fundamental
1422,24 hour
1423,process improvement
1424,human-resource
1425,algorithm
1426,multimedia
1427,Expanded
1428,explicit
1429,holistic
1430,installation
1431,instruction set
1432,project
1433,Persevering
1434,systemic
1435,implementation
1436,analyzer
1437,help-desk
1438,fresh-thinking
1439,object-oriented
1440,Face to face
1441,didactic
1442,motivating
1443,monitoring
1444,complexity
1445,Down-sized
1446,asynchronous
1447,moderator
1448,Re-engineered
1449,Fundamental
1450,zero defect
1451,system-worthy
1452,Focused
1453,artificial intelligence
1454,methodology
1455,discrete
1456,intranet
1457,model
1458,Customizable
1459,Visionary
1460,upward-trending
1461,system-worthy
1462,even-keeled
1463,didactic
1464,process improvement
1465,task-force
1466,Fundamental
1467,Open-source
1468,client-driven
1469,Automated
1470,Open-source
1471,reciprocal
1472,hybrid
1473,policy
1474,Monitored
1475,parallelism
1476,task-force
1477,Grass-roots
1478,Total
1479,Extended
1480,matrix
1481,Versatile
1482,Intuitive
1483,pricing structure
1484,superstructure
1485,portal
1486,approach
1487,24 hour
1488,Enhanced
1489,stable
1490,transitional
1491,homogeneous
1492,incremental
1493,archive
1494,user-facing
1495,Compatible
1496,functionalities
1497,adapter
1498,national
1499,composite
1500,optimizing
1501,motivating
1502,Vision-oriented
1503,pricing structure
1504,contextually-based
1505,utilisation
1506,Switchable
1507,policy
1508,moratorium
1509,discrete
1510,scalable
1511,projection
1512,high-level
1513,radical
1514,optimizing
1515,workforce
1516,optimizing
1517,Graphical User Interface
1518,strategy
1519,directional
1520,Automated
1521,parallelism
1522,Cross-platform
1523,Enhanced
1524,Enhanced
1525,conglomeration
1526,open architecture
1527,algorithm
1528,orchestration
1529,implementation
1530,Cross-group
1531,disintermediate
1532,bifurcated
1533,info-mediaries
1534,success
1535,Progressive
1536,Universal
1537,Self-enabling
1538,structure
1539,toolset
1540,website
1541,Pre-emptive
1542,Progressive
1543,analyzer
1544,Reactive
1545,executive
1546,instruction set
1547,intangible
1548,regional
1549,utilisation
1550,analyzer
1551,User-centric
1552,zero administration
1553,product
1554,artificial intelligence
1555,De-engineered
1556,exuding
1557,knowledge user
1558,disintermediate
1559,infrastructure
1560,standardization
1561,systematic
1562,secondary
1563,Integrated
1564,adapter
1565,orchestration
1566,stable
1567,groupware
1568,definition
1569,complexity
1570,function
1571,Synergistic
1572,Innovative
1573,standardization
1574,next generation
1575,content-based
1576,global
1577,Intuitive
1578,didactic
1579,success
1580,Distributed
1581,24/7
1582,attitude
1583,directional
1584,system-worthy
1585,Business-focused
1586,array
1587,adapter
1588,Decentralized
1589,upward-trending
1590,neural-net
1591,Multi-channelled
1592,Proactive
1593,hybrid
1594,Integrated
1595,multimedia
1596,pricing structure
1597,workforce
1598,Streamlined
1599,methodical
1600,system engine
1601,radical
1602,Phased
1603,Secured
1604,Open-source
1605,Innovative
1606,success
1607,analyzing
1608,executive
1609,Exclusive
1610,logistical
1611,implementation
1612,Fully-configurable
1613,software
1614,24/7
1615,Future-proofed
1616,heuristic
1617,focus group
1618,moderator
1619,Reactive
1620,Open-architected
1621,Innovative
1622,system engine
1623,synergy
1624,mission-critical
1625,3rd generation
1626,help-desk
1627,Ergonomic
1628,systemic
1629,structure
1630,Assimilated
1631,multi-state
1632,groupware
1633,challenge
1634,responsive
1635,cohesive
1636,interactive
1637,disintermediate
1638,analyzing
1639,product
1640,Assimilated
1641,support
1642,Configurable
1643,Reactive
1644,instruction set
1645,context-sensitive
1646,tangible
1647,framework
1648,orchestration
1649,Decentralized
1650,uniform
1651,analyzing
1652,Inverse
1653,collaboration
1654,bandwidth-monitored
1655,circuit
1656,Adaptive
1657,Pre-emptive
1658,impactful
1659,Stand-alone
1660,local
1661,parallelism
1662,software
1663,dynamic
1664,zero defect
1665,frame
1666,help-desk
1667,definition
1668,task-force
1669,tangible
1670,intermediate
1671,Adaptive
1672,leverage
1673,Up-sized
1674,even-keeled
1675,transitional
1676,Monitored
1677,fault-tolerant
1678,Persistent
1679,zero tolerance
1680,composite
1681,secondary
1682,Universal
1683,didactic
1684,Optimized
1685,24/7
1686,open system
1687,projection
1688,tangible
1689,time-frame
1690,Customizable
1691,Optional
1692,array
1693,local area network
1694,didactic
1695,holistic
1696,Mandatory
1697,Monitored
1698,intermediate
1699,optimal
1700,demand-driven
1701,Automated
1702,superstructure
1703,Optional
1704,system-worthy
1705,tangible
1706,Ameliorated
1707,open system
1708,customer loyalty
1709,leading edge
1710,directional
1711,Intuitive
1712,Mandatory
1713,Persevering
1714,info-mediaries
1715,matrix
1716,local
1717,standardization
1718,client-driven
1719,multi-tasking
1720,Secured
1721,Versatile
1722,Intuitive
1723,scalable
1724,encompassing
1725,Grass-roots
1726,systemic
1727,Optional
1728,software
1729,reciprocal
1730,Virtual
1731,encompassing
1732,Integrated
1733,composite
1734,Integrated
1735,Horizontal
1736,internet solution
1737,fresh-thinking
1738,Synchronised
1739,bi-directional
1740,Cloned
1741,Re-contextualized
1742,methodical
1743,Profound
1744,collaboration
1745,Expanded
1746,bifurcated
1747,mission-critical
1748,Distributed
1749,pricing structure
1750,moratorium
1751,synergy
1752,homogeneous
1753,Graphic Interface
1754,Centralized
1755,Synergized
1756,Object-based
1757,Exclusive
1758,Synergized
1759,needs-based
1760,initiative
1761,responsive
1762,intangible
1763,Multi-layered
1764,coherent
1765,ability
1766,interactive
1767,Optional
1768,web-enabled
1769,fresh-thinking
1770,info-mediaries
1771,attitude-oriented
1772,Enhanced
1773,contextually-based
1774,definition
1775,Function-based
1776,functionalities
1777,throughput
1778,Self-enabling
1779,ability
1780,Operative
1781,Switchable
1782,attitude
1783,well-modulated
1784,capacity
1785,definition
1786,Open-source
1787,Streamlined
1788,Programmable
1789,attitude
1790,optimizing
1791,foreground
1792,Advanced
1793,Centralized
1794,implementation
1795,Business-focused
1796,zero administration
1797,methodology
1798,help-desk
1799,approach
1800,info-mediaries
1801,solution-oriented
1802,encompassing
1803,Public-key
1804,approach
1805,solution
1806,logistical
1807,Graphical User Interface
1808,Up-sized
1809,Synchronised
1810,fresh-thinking
1811,hub
1812,structure
1813,challenge
1814,utilisation
1815,strategy
1816,user-facing
1817,client-driven
1818,data-warehouse
1819,executive
1820,attitude
1821,Public-key
1822,Visionary
1823,Reduced
1824,grid-enabled
1825,function
1826,disintermediate
1827,Customizable
1828,policy
1829,Programmable
1830,Persistent
1831,analyzer
1832,Fully-configurable
1833,Assimilated
1834,3rd generation
1835,database
1836,Secured
1837,non-volatile
1838,Operative
1839,Cross-platform
1840,hub
1841,hierarchy
1842,radical
1843,bandwidth-monitored
1844,Future-proofed
1845,matrices
1846,intermediate
1847,Diverse
1848,Sharable
1849,Cross-group
1850,Horizontal
1851,Automated
1852,multi-tasking
1853,fresh-thinking
1854,process improvement
1855,paradigm
1856,local
1857,Down-sized
1858,Multi-tiered
1859,conglomeration
1860,Customizable
1861,project
1862,multi-tasking
1863,Cross-platform
1864,intermediate
1865,Virtual
1866,methodology
1867,global
1868,circuit
1869,Switchable
1870,neutral
1871,Face to face
1872,encoding
1873,responsive
1874,Cloned
1875,Customizable
1876,internet solution
1877,challenge
1878,tertiary
1879,Enhanced
1880,monitoring
1881,initiative
1882,Monitored
1883,Organic
1884,Networked
1885,throughput
1886,asynchronous
1887,hub
1888,maximized
1889,Multi-tiered
1890,user-facing
1891,cohesive
1892,time-frame
1893,Phased
1894,hardware
1895,Exclusive
1896,knowledge base
1897,optimal
1898,synergy
1899,value-added
1900,ability
1901,uniform
1902,Synergized
1903,intangible
1904,portal
1905,national
1906,knowledge base
1907,bifurcated
1908,regional
1909,concept
1910,Exclusive
1911,service-desk
1912,moderator
1913,Progressive
1914,middleware
1915,didactic
1916,holistic
1917,pricing structure
